customer_id,customer_name,email,registration_date,customer_type
C0001,Brian Yang,johnsonjoshua@example.org,2025-11-29,REGULAR
C0002,Jonathan Johnson,garzaanthony@example.org,2024-06-08,REGULAR
C0003,Abigail Shaffer,lrobinson@example.com,2026-07-24,VIP
C0004,Gabrielle Davis,jpeterson@example.org,2024-01-02,VIP
C0005,Kimberly Dudley,melanie94@example.org,2025-03-15,REGULAR
C0006,Heidi Lee,arnoldmaria@example.net,2023-11-21,REGULAR
C0007,Sharon James,stanleykendra@example.org,2025-07-09,REGULAR
C0008,Timothy Wong,francisco53@example.net,2026-03-08,VIP
C0009,William Bowman,amandasanchez@example.com,2025-12-17,REGULAR
C0010,Andrew Stewart,gabriellecameron@example.org,2024-09-23,VIP
C0011,Matthew Foster,clarksherri@example.net,2026-04-29,REGULAR
C0012,Kimberly Burgess,ithomas@example.org,2025-05-31,PREMIUM
C0013,Peter Callahan Jr.,icox@example.net,2024-04-09,REGULAR
C0014,Julie King,ycarlson@example.com,2025-12-11,REGULAR
C0015,Patricia Peterson,frazierdanny@example.net,2024-11-02,PREMIUM
C0016,Deborah Mason,amoore@example.net,2024-05-08,REGULAR
C0017,Christina Brooks,harrellkenneth@example.net,2024-04-11,PREMIUM
C0018,Sherry Decker,georgetracy@example.org,2024-11-24,PREMIUM
C0019,John Jones,brianhumphrey@example.org,2025-11-09,PREMIUM
C0020,Joseph Obrien,davidalvarez@example.net,2024-06-29,REGULAR
C0021,Jessica Holmes,jenniferross@example.net,2024-02-08,VIP
C0022,Leah Smith,jeffreymorgan@example.net,2026-04-11,PREMIUM
C0023,David Caldwell,perezrebecca@example.com,2024-07-02,PREMIUM
C0024,Richard Aguirre,jenniferkhan@example.net,2024-05-26,VIP
C0025,Scott Brown,davisryan@example.com,2026-05-16,PREMIUM
C0026,Connor West,brownjessica@example.org,2025-05-21,VIP
C0027,Scott Pierce,joshuawright@example.org,2023-10-22,VIP
C0028,John Lewis,novaksara@example.org,2025-04-18,PREMIUM
C0029,Richard Gibson,martinaaron@example.com,2025-05-23,REGULAR
C0030,Lauren Daniels,smoore@example.org,2024-12-04,PREMIUM
C0031,Tyler Miller,williamsthomas@example.net,2024-05-19,VIP
C0032,Todd Hudson,larsonemma@example.org,2026-01-20,REGULAR
C0033,Emily Green,harveyrobert@example.net,2026-06-10,REGULAR
C0034,Joyce Hickman,john62@example.net,2023-11-25,VIP
C0035,Daniel Baker,ellisyolanda@example.org,2025-01-28,VIP
C0036,Joshua Turner,suarezmike@example.org,2026-05-16,VIP
C0037,Shawn Baker,contrerasangela@example.net,2024-01-18,VIP
C0038,Michael Farrell,josephjacobs@example.net,2025-09-28,PREMIUM
C0039,Sandra Williams,dking@example.org,2025-01-04,VIP
C0040,Michael Hoffman,danagreen@example.net,2024-01-25,REGULAR
C0041,Sandra Aguilar,landryhannah@example.org,2024-03-22,REGULAR
C0042,Rebecca Valencia,tanderson@example.com,2025-02-10,REGULAR
C0043,Stacey Russell,evelynestrada@example.com,2026-03-26,PREMIUM
C0044,Rita Keith,sarayoung@example.org,2023-09-12,REGULAR
C0045,Sharon Cochran,jillcook@example.com,2024-09-22,VIP
C0046,Courtney Velasquez,kristinrodriguez@example.org,2025-07-20,PREMIUM
C0047,Jennifer Ramirez,kevin33@example.org,2023-11-20,PREMIUM
C0048,Ms. Teresa Wilson,michael86@example.net,2024-09-13,VIP
C0049,Jeffrey Chandler,beverlyterrell@example.org,2024-12-04,PREMIUM
C0050,Kenneth Scott,gobrien@example.org,2025-06-12,VIP
C0051,Natalie Lambert,meyerlindsay@example.net,2025-02-20,PREMIUM
C0052,Mary Martinez,qjones@example.com,2024-11-13,PREMIUM
C0053,Cameron Fisher,elizabeth56@example.net,2025-03-15,PREMIUM
C0054,Elizabeth Clark,christinaturner@example.net,2026-01-21,REGULAR
C0055,Steven Flynn,steven73@example.net,2024-04-24,REGULAR
C0056,Robert Potter,campbellelizabeth@example.net,2026-06-15,REGULAR
C0057,William Carr,jeffrey32@example.org,2023-11-26,REGULAR
C0058,Michael Snyder,operry@example.net,2024-08-18,PREMIUM
C0059,Colleen Brock,dianasmith@example.org,2026-07-21,PREMIUM
C0060,Robert Contreras,pwilliams@example.org,2025-12-20,PREMIUM
C0061,Jessica Meadows,stephanie79@example.net,2025-06-27,VIP
C0062,Sara Ramirez,juliawells@example.com,2025-10-22,REGULAR
C0063,Dustin Nelson,rsims@example.com,2024-12-13,REGULAR
C0064,Daniel Perry,taylorjesse@example.net,2024-12-31,VIP
C0065,Randy Shah,nperry@example.com,2023-09-04,VIP
C0066,Sarah Ashley,wwoods@example.com,2025-05-16,PREMIUM
C0067,George Shelton,tracynelson@example.com,2025-04-24,PREMIUM
C0068,Susan Vargas,marycalhounexample.net,2026-05-30,VIP
C0069,David Murphy,millerroy@example.com,2025-07-11,PREMIUM
C0070,Bradley Smith,matthew64@example.com,2025-11-19,REGULAR
C0071,Tyler Williams,cookemichael@example.net,2023-09-22,REGULAR
C0072,John Wilson,jamessmith@example.org,2024-07-08,PREMIUM
C0073,Lawrence Adkins,xlyons@example.com,2024-01-29,VIP
